id,cname,planting,harvest,wsgd,gwad
14879,Ulanga,2022-02-01,2022-06-22,0.315,4229
14880,Ulanga,2022-02-13,2022-06-22,0.419,3088
14881,Ulanga,2023-01-07,2023-05-17,0,3325
14882,Ulanga,2023-01-27,2023-06-01,0,3037
14883,Ulanga,2023-01-11,2023-05-17,0,3021
14884,Ulanga,2023-01-05,2023-05-12,0,3028
14885,Ulanga,2023-01-23,2023-05-30,0,3093
14886,Ulanga,2023-01-15,2023-05-24,0,3037
14887,Ulanga,2023-01-24,2023-05-31,0,3251
14888,Ulanga,2023-01-13,2023-05-16,0,2995
14889,Ulanga,2023-01-07,2023-05-11,0,3029
14890,Ulanga,2023-01-14,2023-05-20,0,3010
14891,Ulanga,2023-01-30,2023-06-05,0,3311
14892,Ulanga,2023-01-23,2023-05-28,0,2894
14893,Ulanga,2023-02-03,2023-06-05,0,3177
14894,Ulanga,2023-01-22,2023-05-27,0,3187
14895,Ulanga,2023-01-10,2023-05-18,0,3056
14896,Ulanga,2023-01-14,2023-05-23,0,3080
14897,Ulanga,2023-01-22,2023-05-29,0,3124
14898,Ulanga,2023-01-12,2023-05-15,0,2945
14899,Ulanga,2023-01-23,2023-05-29,0,3170
14900,Ulanga,2023-01-29,2023-06-05,0,3298
14901,Ulanga,2023-02-01,2023-06-05,0.656,3132
14902,Ulanga,2023-01-09,2023-05-14,0,2997
14903,Ulanga,2023-01-19,2023-05-24,0,2941
14904,Ulanga,2023-01-19,2023-05-24,0,2966
14905,Ulanga,2023-01-11,2023-05-19,0,3016
14906,Ulanga,2023-01-29,2023-06-05,0,3457
14907,Ulanga,2023-01-17,2023-05-25,0,3145
14908,Ulanga,2023-01-05,2023-05-10,0,3111
14909,Ulanga,2023-01-24,2023-05-31,0,3153
14910,Ulanga,2023-01-26,2023-06-01,0,3103
14911,Ulanga,2023-01-17,2023-05-28,0,3148
14912,Ulanga,2023-01-11,2023-05-16,0,2917
14913,Ulanga,2023-01-09,2023-05-14,0,3142
14914,Ulanga,2023-01-26,2023-06-01,0,3183
14915,Ulanga,2023-02-01,2023-06-05,0,3162
14916,Ulanga,2023-01-17,2023-05-26,0,3059
14917,Ulanga,2023-01-10,2023-05-16,0,3293
